seed_index	world_seed	mode	subject	run	reducer	Mphase	n_pairs_total	n_pairs_finite	pair_corrected_skewness	pair_positive_fraction	pair_zero_count
4	20860831	benchmark	CS49	R1	median	-0.000412978696804914	12	12	0.187024710724624	0.25	0
4	20860831	benchmark	CS49	R1	mean	-0.000365154691594816	12	12	0.187024710724624	0.25	0
4	20860831	benchmark	CS49	R2	median	0.000332203135558089	14	14	0.713124522646073	0.571428571428571	0
4	20860831	benchmark	CS49	R2	mean	0.00033429834760748	14	14	0.713124522646073	0.571428571428571	0
4	20860831	benchmark	CS51	R1	median	7.50971010308738e-05	14	14	1.094565689984	0.5	0
4	20860831	benchmark	CS51	R1	mean	0.00023518423764972	14	14	1.094565689984	0.5	0
4	20860831	benchmark	CS51	R2	median	-0.000225878962246536	12	12	1.71959213555366	0.25	0
4	20860831	benchmark	CS51	R2	mean	2.57141824481006e-05	12	12	1.71959213555366	0.25	0
4	20860831	benchmark	CS53	R1	median	-0.000153020236530269	12	12	0.347628185689081	0.416666666666667	0
4	20860831	benchmark	CS53	R1	mean	-2.90804868123971e-05	12	12	0.347628185689081	0.416666666666667	0
4	20860831	benchmark	CS53	R2	median	0.000264472920189166	8	8	0.194858253416004	0.75	0
4	20860831	benchmark	CS53	R2	mean	0.000229519476535796	8	8	0.194858253416004	0.75	0
4	20860831	benchmark	CS54	R1	median	-0.000109262254285036	7	7	-0.173410956303691	0.285714285714286	0
4	20860831	benchmark	CS54	R1	mean	-8.30034859515724e-05	7	7	-0.173410956303691	0.285714285714286	0
4	20860831	benchmark	CS54	R2	median	-0.000186071827553236	7	7	1.18245001720992	0.428571428571429	0
4	20860831	benchmark	CS54	R2	mean	0.000105936851810404	7	7	1.18245001720992	0.428571428571429	0
4	20860831	benchmark	CS55	R1	median	0.000324314192536205	14	14	0.276598849233406	0.714285714285714	0
4	20860831	benchmark	CS55	R1	mean	0.000337667068027135	14	14	0.276598849233406	0.714285714285714	0
4	20860831	benchmark	CS55	R2	median	-2.10305244522365e-05	14	14	0.597922084139335	0.428571428571429	0
4	20860831	benchmark	CS55	R2	mean	0.000362988071325413	14	14	0.597922084139335	0.428571428571429	0
4	20860831	benchmark	CS56	R1	median	-0.000752854655746809	12	12	0.59306148581675	0.166666666666667	0
4	20860831	benchmark	CS56	R1	mean	-0.00052874970518337	12	12	0.59306148581675	0.166666666666667	0
4	20860831	benchmark	CS56	R2	median	5.38639598539175e-05	12	12	0.631838584874418	0.5	0
4	20860831	benchmark	CS56	R2	mean	0.000138193378304085	12	12	0.631838584874418	0.5	0
4	20860831	benchmark	CS57	R1	median	0.000323266388209151	12	12	0.163265237218972	0.666666666666667	0
4	20860831	benchmark	CS57	R1	mean	0.000222278016445866	12	12	0.163265237218972	0.666666666666667	0
4	20860831	benchmark	CS57	R2	median	-0.000205044317901865	12	12	0.981985404185739	0.416666666666667	0
4	20860831	benchmark	CS57	R2	mean	-0.000335439943823082	12	12	0.981985404185739	0.416666666666667	0
4	20860831	benchmark	CS58	R1	median	-0.000656894300346975	7	7	0.0210409983164126	0.142857142857143	0
4	20860831	benchmark	CS58	R1	mean	-0.00065853783121373	7	7	0.0210409983164126	0.142857142857143	0
4	20860831	benchmark	CS60	R1	median	-0.000955358997821304	14	14	0.717083921253316	0.357142857142857	0
4	20860831	benchmark	CS60	R1	mean	-0.000308723915869249	14	14	0.717083921253316	0.357142857142857	0
4	20860831	benchmark	CS62	R1	median	-0.000203752673961754	7	7	1.54504280470661	0.428571428571429	0
4	20860831	benchmark	CS62	R1	mean	0.000258576695474657	7	7	1.54504280470661	0.428571428571429	0
4	20860831	benchmark	CS62	R2	median	-0.000117684211496671	7	7	2.34391646522803	0.428571428571429	0
4	20860831	benchmark	CS62	R2	mean	0.000560452451873005	7	7	2.34391646522803	0.428571428571429	0
5	20860832	benchmark	CS41	R1	median	-0.000162565291090561	14	14	0.689985405841999	0.357142857142857	0
5	20860832	benchmark	CS41	R1	mean	-1.87615431090057e-05	14	14	0.689985405841999	0.357142857142857	0
5	20860832	benchmark	CS41	R2	median	0.000421528231738313	14	14	-0.691396227303542	0.642857142857143	0
5	20860832	benchmark	CS41	R2	mean	0.000263918146156429	14	14	-0.691396227303542	0.642857142857143	0
5	20860832	benchmark	CS42	R1	median	-0.00033717438690806	14	14	1.85743761559665	0.285714285714286	0
5	20860832	benchmark	CS42	R1	mean	-0.000131361356774629	14	14	1.85743761559665	0.285714285714286	0
5	20860832	benchmark	CS42	R2	median	6.76716623994471e-06	14	14	0.713411278241162	0.5	0
5	20860832	benchmark	CS42	R2	mean	0.000339549689691914	14	14	0.713411278241162	0.5	0
5	20860832	benchmark	CS43	R1	median	9.67486800936287e-05	14	14	1.24719132821421	0.714285714285714	0
5	20860832	benchmark	CS43	R1	mean	0.000433056322243546	14	14	1.24719132821421	0.714285714285714	0
5	20860832	benchmark	CS43	R2	median	-5.68476056652303e-05	14	14	0.48097085492548	0.428571428571429	0
