seed_index	world_seed	mode	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction
36	20860863	benchmark	median	R1	16	-0.000179408334519928	0.053802490234375	9.47941349913545e-05	-0.603419917775572	5	11	0	0.3125
36	20860863	benchmark	median	R2	13	-0.00028692680654899	0.00244140625	0.000106432113464066	-0.343266610946912	3	10	0	0.230769230769231
36	20860863	benchmark	mean	R1	16	5.21957945394449e-05	0.647186279296875	0.000108669502532299	0.0674315227692195	11	5	0	0.6875
36	20860863	benchmark	mean	R2	13	-0.000207533442639615	0.018798828125	9.64103480423738e-05	-0.618797793934155	2	11	0	0.153846153846154
37	20860864	benchmark	median	R1	16	-0.000312523946067225	0.001129150390625	0.000111972427533765	-0.75642767247233	3	13	0	0.1875
37	20860864	benchmark	median	R2	13	-0.000163337138295297	0.10205078125	9.83927068602133e-05	-0.63684006674289	5	8	0	0.384615384615385
37	20860864	benchmark	mean	R1	16	-0.000120831527162819	0.084747314453125	7.00395667761938e-05	0.668679294745435	4	12	0	0.25
37	20860864	benchmark	mean	R2	13	3.49543330808383e-05	0.6259765625	6.88759151727153e-05	-0.468472856951864	8	5	0	0.615384615384615
38	20860865	benchmark	median	R1	16	-6.78863109301235e-05	0.58795166015625	0.000115281286811284	1.2899084148121	6	10	0	0.375
38	20860865	benchmark	median	R2	13	-0.00019604372889806	0.02978515625	9.60099681501833e-05	-0.727297717759562	4	9	0	0.307692307692308
38	20860865	benchmark	mean	R1	16	0.000102604087133179	0.33868408203125	0.000103084761431149	0.0752326113745131	12	4	0	0.75
38	20860865	benchmark	mean	R2	13	-6.32970460056626e-05	0.5107421875	9.24759981926558e-05	0.494095498583142	5	8	0	0.384615384615385
39	20860866	benchmark	median	R1	16	-0.000160896169253478	0.06549072265625	8.82572927286252e-05	-0.0993488059518464	4	12	0	0.25
39	20860866	benchmark	median	R2	13	-0.000266253923515435	0.02490234375	0.000129391551844554	-0.658459561528823	2	11	0	0.153846153846154
39	20860866	benchmark	mean	R1	16	2.29141294635949e-05	0.76422119140625	7.34645853145166e-05	-0.304730965624152	9	7	0	0.5625
39	20860866	benchmark	mean	R2	13	-0.000108051106525308	0.146728515625	7.32168237965606e-05	-0.39295528256129	6	7	0	0.461538461538462
40	20860867	benchmark	median	R1	16	-0.000152020209618261	0.09930419921875	9.32129786659614e-05	-0.927150986969701	6	10	0	0.375
40	20860867	benchmark	median	R2	13	-0.000265137941119086	0.021240234375	0.000120779690459504	-0.281116227171783	2	11	0	0.153846153846154
40	20860867	benchmark	mean	R1	16	-4.73531556492988e-05	0.38720703125	5.3318947676091e-05	-0.285820331320754	8	8	0	0.5
40	20860867	benchmark	mean	R2	13	-0.000119684865663796	0.194580078125	9.11017830686458e-05	0.986738852675005	4	9	0	0.307692307692308
41	20860868	benchmark	median	R1	16	-0.000106995755845296	0.30084228515625	0.000101274595705459	0.651436659500946	6	10	0	0.375
41	20860868	benchmark	median	R2	13	-2.86616539700026e-05	0.821044921875	0.00012412735016405	0.0759521613084589	6	7	0	0.461538461538462
41	20860868	benchmark	mean	R1	16	0.000122012839114503	0.241851806640625	0.000100033072740651	0.475341980441097	11	5	0	0.6875
41	20860868	benchmark	mean	R2	13	2.37734994575908e-05	0.83056640625	0.000106074460772093	-0.107740888985212	7	6	0	0.538461538461538
42	20860869	benchmark	median	R1	16	-0.000275101456964253	0.006683349609375	0.000110557394686876	-0.503504711217755	4	12	0	0.25
42	20860869	benchmark	median	R2	13	-2.8521517298934e-05	0.77294921875	9.63054609660476e-05	0.406024274090725	5	8	0	0.384615384615385
42	20860869	benchmark	mean	R1	16	-6.07382970243178e-05	0.458831787109375	7.89377202088666e-05	-0.298276581059385	8	8	0	0.5
42	20860869	benchmark	mean	R2	13	2.8844271038923e-06	0.9599609375	7.37556793038964e-05	0.0798824000149733	6	7	0	0.461538461538462
43	20860870	benchmark	median	R1	16	-0.000116707163464613	0.29638671875	0.000109431349994661	-0.0884391770061536	7	9	0	0.4375
