cell_id	seed_index	world_seed	checkpoint_sha256	run	subject_mean	subject_sample_sd	subject_MAD_about_median	subject_skewness_bias_corrected	subject_excess_kurtosis_bias_corrected	subject_max_abs_over_rms	orbit_n	orbit_mean	orbit_sample_sd	orbit_q0_5	orbit_q2_5	orbit_q25	orbit_q50	orbit_q75	orbit_q97_5	orbit_q99_5	orbit_skewness_bias_corrected	orbit_excess_kurtosis_bias_corrected	observed	studentization_sd	observed_standardized_score	p_two_sided	p_maxstat
M01	6	20360833.0	AF090DB9F788DBD8987B4A673B62A4FABFE4FF2750955BF7A7FAD24C784367E1	R1	-0.0001765985046047559	0.0002617010075255014	0.0001769382021150169	-0.494179693836013	0.5544653306370604	2.5344230884751813	65536	1.0164395367051604e-20	7.721538107935157e-05	-0.00018379856238343048	-0.0001475931399240002	-5.5201240178239644e-05	0	5.5201240178239644e-05	0.0001475931399240002	0.00018379856238343034	1.4805483659241143e-15	-0.4211444051332416	-0.0001765985046047559	7.721538107935157e-05	-2.287089724044381	0.01446533203125	0.01446533203125
M01	6	20360833.0	AF090DB9F788DBD8987B4A673B62A4FABFE4FF2750955BF7A7FAD24C784367E1	R2	-0.0001954568252334544	0.0003608640659961517	0.0002027106376861335	0.42819881473419324	-0.23301835089674894	1.676134582749873	8192	7.623296525288703e-21	0.0001103938543102508	-0.000272615767078263	-0.00021470194579304398	-7.813729273198512e-05	0	7.813729273198512e-05	0.00021470194579304398	0.00027261576707826303	-3.190977213523854e-16	-0.31628477639902997	-0.0001954568252334544	0.0001103938543102508	-1.7705408190943557	0.0732421875	0.0732421875
M01	7	20360834.0	F1229EE0ECD25A6D3CDA2F6CCF59AC8ABC926869805D8A5D65D6A250C976A035	R1	-0.00045876587852289384	0.0003764532721395817	0.00025346110984235946	0.19161397954588372	-0.7181856838800011	1.713034190815688	65536	3.3881317890172014e-20	0.00014648615966770452	-0.0003624538925445098	-0.00028444894816350547	-0.00010162443452312801	0	0.00010162443452312801	0.00028444894816350547	0.00036245389254450976	-4.2404742909266095e-15	-0.24845792182147486	-0.00045876587852289384	0.00014648615966770452	-3.13180357491505	0.000396728515625	0.000396728515625
M01	7	20360834.0	F1229EE0ECD25A6D3CDA2F6CCF59AC8ABC926869805D8A5D65D6A250C976A035	R2	-0.00024754532740786303	0.000419025562681913	0.0002425863027540924	1.7782181452047512	4.327688624574766	1.906564891633994	8192	1.2366681029912785e-19	0.00013108483437775394	-0.0003189250673095777	-0.0002527871581958479	-9.181924040195813e-05	0	9.181924040195813e-05	0.00025278715819584784	0.00031892506730957774	-2.2646625162418283e-15	-0.32063519476818714	-0.00024754532740786303	0.00013108483437775394	-1.888436054276873	0.056884765625	0.056884765625
M01	8	20360835.0	6D2639DCBB758D265F41AFCCF4271572683757F748E6FCDEC9E4A8C1F9FD1537	R1	-0.00037554493272810884	0.0005478205211154524	0.0003646146088854754	-0.14908485034062746	-0.808988765904302	2.063736547177536	65536	3.3881317890172014e-21	0.00016247904813377316	-0.00039620533923875455	-0.00031370156198795584	-0.00011404233002227085	0	0.00011404233002227085	0.00031370156198795584	0.0003962053392387539	2.5425057337880047e-15	-0.31662409781184	-0.00037554493272810884	0.00016247904813377316	-2.311343751958179	0.01611328125	0.01611328125
M01	8	20360835.0	6D2639DCBB758D265F41AFCCF4271572683757F748E6FCDEC9E4A8C1F9FD1537	R2	-8.076761925038764e-05	0.00040955313148899986	0.00025579879876922704	0.2587005979788197	-0.22664770212194396	1.9169038847672297	8192	1.5246593050577406e-20	0.00011141546548473019	-0.00026727490141463376	-0.00021491573216756278	-7.790486428706065e-05	0	7.790486428706065e-05	0.00021491573216756246	0.0002672749014146338	1.8258833749526169e-16	-0.3522861327899114	-8.076761925038764e-05	0.00011141546548473019	-0.7249228722331827	0.484619140625	0.484619140625
M01	9	20360836.0	2014C48619768C7DBD7CBF9C895661664D0D0FA1E761C19CF2FDE0FA886E06F3	R1	-0.00030609144934164027	0.0003925251128004687	0.0002044232724955453	0.5947758780370072	1.1929212097688051	1.9872303485365246	65536	-2.541098841762901e-20	0.00012199944301455341	-0.0002993124640434434	-0.0002365248874235893	-8.49801585042528e-05	0	8.49801585042528e-05	0.0002365248874235893	0.00029931246404344303	1.6683147706188065e-16	-0.2795230188247211	-0.00030609144934164027	0.00012199944301455341	-2.5089577606114677	0.008209228515625	0.008209228515625
M01	9	20360836.0	2014C48619768C7DBD7CBF9C895661664D0D0FA1E761C19CF2FDE0FA886E06F3	R2	-0.00011558716491865104	0.0005431825273754646	0.00013971161276472665	1.975948442823433	3.60232875187903	2.446229780894565	8192	5.759824041329242e-20	0.00014825824376838787	-0.00034307132456195405	-0.0002797727062336858	-0.0001082242288675727	0	0.0001082242288675727	0.00027977270623368575	0.00034307132456195416	-9.608920557854502e-16	-0.5147375568956436	-0.00011558716491865104	0.00014825824376838787	-0.7796339817651134	0.469970703125	0.469970703125
M01	10	20360837.0	64D54302A92F6E4B7BD206E8F872DE1171F715A1FF161FA2C72BC54DDD439393	R1	-0.00017571697377094555	0.0004166351033293366	0.00023159336240308073	0.48617526981829584	0.2657379802077995	1.9539977586219048	65536	2.456395547037471e-20	0.00011000430899162067	-0.0002681658611801969	-0.00021322755643106263	-7.670947339940255e-05	0	7.670947339940255e-05	0.00021322755643106263	0.00026816586118019655	-3.413608457298965e-16	-0.28655139282606523	-0.00017571697377094555	0.00011000430899162067	-1.5973644612806066	0.112213134765625	0.112213134765625
M01	10	20360837.0	64D54302A92F6E4B7BD206E8F872DE1171F715A1FF161FA2C72BC54DDD439393	R2	-0.00012251609184090877	0.0005172835817228637	0.0005191488273370461	-0.0014846078085671071	-1.307097739861881	1.6424632792864682	8192	-1.1858461261560205e-20	0.00014197541227733277	-0.00034583171959719764	-0.00027796575069673034	-9.883265403575849e-05	0	9.883265403575849e-05	0.0002779657506967303	0.00034583171959719813	3.8826007357980494e-16	-0.2845369377993401	-0.00012251609184090877	0.00014197541227733277	-0.8629387995830402	0.406005859375	0.406005859375
