cell_id	seed_index	row_index	subject	run	Mpower	Mphase	n_pairs
P01	14	8	CS47	R1	-0.00414622354342893	0	14
P01	14	9	CS47	R2	0.00230027660689531	0	14
P01	14	10	CS48	R1	0.00274875068546765	0	14
P01	14	11	CS48	R2	-0.00698949084242422	0	14
P01	14	12	CS49	R1	0.00583328790549611	0	12
P01	14	13	CS49	R2	-0.00865013184994696	0	14
P01	14	14	CS51	R1	-0.000641124601683405	0	14
P01	14	15	CS51	R2	-0.00342102308816956	0	12
P01	14	16	CS53	R1	0.00304440354151224	0	12
P01	14	17	CS53	R2	-0.0121449281779175	0	8
P01	14	18	CS54	R1	0.00157621926551169	0	7
P01	14	19	CS54	R2	-0.015829766395091	0	7
P01	14	20	CS55	R1	-0.0029281262043133	0	14
P01	14	21	CS55	R2	0.00278386599437912	0	14
P01	14	22	CS56	R1	-0.0043007052526518	0	12
P01	14	23	CS56	R2	0.00705534316614509	0	12
P01	14	24	CS57	R1	-0.00708326392444546	0	12
P01	14	25	CS57	R2	0.00508285399794275	0	12
P01	14	26	CS58	R1	-0.00225181160713746	0	7
P01	14	27	CS60	R1	-0.00269428758072791	0	14
P01	14	28	CS62	R1	-0.00553800623731163	0	7
P01	14	29	CS62	R2	0.000464729289745962	0	7
P01	15	1	CS41	R1	-0.000942600712594733	0	14
P01	15	2	CS41	R2	-0.00155914044150614	0	14
P01	15	3	CS42	R1	-0.00168657633749115	0	14
P01	15	4	CS42	R2	0.00497631098596431	0	14
