seed_index	world_seed	mode	arm	kappa	gain_slope_b	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	metric_stream_initial_state_hash	base_stream_state_hash	truth_a_g06_uV	truth_grid_id
9	22360836	benchmark	P0F	0	0	mean	R2	13	-2.94999339244405e-05	0.70458984375	7.42645589394767e-05	0.432442498709545	6	7	0	0.461538461538462	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
10	22360837	benchmark	P0F	0	0	median	R1	16	-0.000166371730575726	0.026763916015625	7.68000477296945e-05	0.369324744431905	4	12	0	0.25	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
10	22360837	benchmark	P0F	0	0	median	R2	13	-0.000115715143735192	0.053955078125	6.25094636232705e-05	-0.955360547297032	5	8	0	0.384615384615385	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
10	22360837	benchmark	P0F	0	0	mean	R1	16	1.15857950372848e-05	0.86138916015625	6.14741291627388e-05	1.01687047743448	6	10	0	0.375	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
10	22360837	benchmark	P0F	0	0	mean	R2	13	-2.77006256367209e-05	0.67431640625	6.27699452491772e-05	-0.196018038837015	6	7	0	0.461538461538462	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
11	22360838	benchmark	P0F	0	0	median	R1	16	-0.000279303278144608	0.0037841796875	0.000103065011165256	0.970974906535873	2	14	0	0.125	CB6FA2DBF794375BBBC42CEEA64DEE05D93918BC79B05D81199A90DE37C81512	CB6FA2DBF794375BBBC42CEEA64DEE05D93918BC79B05D81199A90DE37C81512	4.61799281479342	G06
11	22360838	benchmark	P0F	0	0	median	R2	13	2.2564030166208e-05	0.841064453125	9.34343721324302e-05	1.21830659793588	7	6	0	0.538461538461538	CB6FA2DBF794375BBBC42CEEA64DEE05D93918BC79B05D81199A90DE37C81512	CB6FA2DBF794375BBBC42CEEA64DEE05D93918BC79B05D81199A90DE37C81512	4.61799281479342	G06
11	22360838	benchmark	P0F	0	0	mean	R1	16	-0.000117485731402955	0.10943603515625	7.30934770007229e-05	-0.193023452048963	6	10	0	0.375	CB6FA2DBF794375BBBC42CEEA64DEE05D93918BC79B05D81199A90DE37C81512	CB6FA2DBF794375BBBC42CEEA64DEE05D93918BC79B05D81199A90DE37C81512	4.61799281479342	G06
11	22360838	benchmark	P0F	0	0	mean	R2	13	0.000144171564787303	0.08447265625	8.35849657446248e-05	-0.271162555778318	10	3	0	0.769230769230769	CB6FA2DBF794375BBBC42CEEA64DEE05D93918BC79B05D81199A90DE37C81512	CB6FA2DBF794375BBBC42CEEA64DEE05D93918BC79B05D81199A90DE37C81512	4.61799281479342	G06
12	22360839	benchmark	P0F	0	0	median	R1	16	-0.000317547565418894	6.103515625e-05	9.33983469640129e-05	0.077608307243468	1	15	0	0.0625	7A8BEBFFA8A71D41F4469D32051BA561BA1B6C2146CB703C870C4BEF2F210C58	7A8BEBFFA8A71D41F4469D32051BA561BA1B6C2146CB703C870C4BEF2F210C58	4.61799281479342	G06
12	22360839	benchmark	P0F	0	0	median	R2	13	-4.94780430203379e-05	0.431396484375	5.8688064840032e-05	-0.534872987025931	6	7	0	0.461538461538462	7A8BEBFFA8A71D41F4469D32051BA561BA1B6C2146CB703C870C4BEF2F210C58	7A8BEBFFA8A71D41F4469D32051BA561BA1B6C2146CB703C870C4BEF2F210C58	4.61799281479342	G06
12	22360839	benchmark	P0F	0	0	mean	R1	16	-9.78752089649282e-05	0.13494873046875	6.46448952591781e-05	-0.0582942735011025	6	10	0	0.375	7A8BEBFFA8A71D41F4469D32051BA561BA1B6C2146CB703C870C4BEF2F210C58	7A8BEBFFA8A71D41F4469D32051BA561BA1B6C2146CB703C870C4BEF2F210C58	4.61799281479342	G06
12	22360839	benchmark	P0F	0	0	mean	R2	13	0.000169612539094455	0.0986328125	0.00011078364259808	2.09174105663949	9	4	0	0.692307692307692	7A8BEBFFA8A71D41F4469D32051BA561BA1B6C2146CB703C870C4BEF2F210C58	7A8BEBFFA8A71D41F4469D32051BA561BA1B6C2146CB703C870C4BEF2F210C58	4.61799281479342	G06
13	22360840	benchmark	P0F	0	0	median	R1	16	-1.61654330524777e-05	0.8001708984375	6.18647469748224e-05	0.817070766517072	5	11	0	0.3125	F9BC1C8B30A35C23393F4407F93730336B4B05300E9D43FD2A0BF0F1D1DB59CC	F9BC1C8B30A35C23393F4407F93730336B4B05300E9D43FD2A0BF0F1D1DB59CC	4.61799281479342	G06
13	22360840	benchmark	P0F	0	0	median	R2	13	-7.71604509217379e-05	0.332763671875	7.51682914913434e-05	-0.126546648775608	5	8	0	0.384615384615385	F9BC1C8B30A35C23393F4407F93730336B4B05300E9D43FD2A0BF0F1D1DB59CC	F9BC1C8B30A35C23393F4407F93730336B4B05300E9D43FD2A0BF0F1D1DB59CC	4.61799281479342	G06
13	22360840	benchmark	P0F	0	0	mean	R1	16	0.000118042090403599	0.080047607421875	6.74465720241961e-05	0.54918618359831	8	8	0	0.5	F9BC1C8B30A35C23393F4407F93730336B4B05300E9D43FD2A0BF0F1D1DB59CC	F9BC1C8B30A35C23393F4407F93730336B4B05300E9D43FD2A0BF0F1D1DB59CC	4.61799281479342	G06
13	22360840	benchmark	P0F	0	0	mean	R2	13	7.96331114154026e-05	0.36279296875	8.41299543181228e-05	0.319974623672978	9	4	0	0.692307692307692	F9BC1C8B30A35C23393F4407F93730336B4B05300E9D43FD2A0BF0F1D1DB59CC	F9BC1C8B30A35C23393F4407F93730336B4B05300E9D43FD2A0BF0F1D1DB59CC	4.61799281479342	G06
14	22360841	benchmark	P0F	0	0	median	R1	16	-8.95964406839454e-06	0.928558349609375	9.61075309738959e-05	0.107850652501044	7	9	0	0.4375	8E7EEA259EE57C465447210BBEDB4935CCDA683ACAFA06621EAA1CFB23E9DBC5	8E7EEA259EE57C465447210BBEDB4935CCDA683ACAFA06621EAA1CFB23E9DBC5	4.61799281479342	G06
14	22360841	benchmark	P0F	0	0	median	R2	13	-0.000254503384893998	0.006103515625	0.000102950516683404	-0.478655776946373	1	12	0	0.0769230769230769	8E7EEA259EE57C465447210BBEDB4935CCDA683ACAFA06621EAA1CFB23E9DBC5	8E7EEA259EE57C465447210BBEDB4935CCDA683ACAFA06621EAA1CFB23E9DBC5	4.61799281479342	G06
14	22360841	benchmark	P0F	0	0	mean	R1	16	0.000121298419999023	0.24090576171875	0.00010115721418699	0.208589223963797	9	7	0	0.5625	8E7EEA259EE57C465447210BBEDB4935CCDA683ACAFA06621EAA1CFB23E9DBC5	8E7EEA259EE57C465447210BBEDB4935CCDA683ACAFA06621EAA1CFB23E9DBC5	4.61799281479342	G06
14	22360841	benchmark	P0F	0	0	mean	R2	13	-9.23029619946177e-05	0.345947265625	9.60059184149417e-05	-0.0906003443665197	6	7	0	0.461538461538462	8E7EEA259EE57C465447210BBEDB4935CCDA683ACAFA06621EAA1CFB23E9DBC5	8E7EEA259EE57C465447210BBEDB4935CCDA683ACAFA06621EAA1CFB23E9DBC5	4.61799281479342	G06
15	22360842	benchmark	P0F	0	0	median	R1	16	-0.000278927769617552	0.00152587890625	9.47157445971667e-05	0.854998631529778	2	14	0	0.125	ECEBD851E35ADBD52203AC2EA89AE124F73F0A643D00B8A5B93F5B2593733A9D	ECEBD851E35ADBD52203AC2EA89AE124F73F0A643D00B8A5B93F5B2593733A9D	4.61799281479342	G06
15	22360842	benchmark	P0F	0	0	median	R2	13	-0.000240685070312535	0.001220703125	8.09649599641798e-05	1.33397584214878	1	12	0	0.0769230769230769	ECEBD851E35ADBD52203AC2EA89AE124F73F0A643D00B8A5B93F5B2593733A9D	ECEBD851E35ADBD52203AC2EA89AE124F73F0A643D00B8A5B93F5B2593733A9D	4.61799281479342	G06
15	22360842	benchmark	P0F	0	0	mean	R1	16	-3.55880822164898e-05	0.6160888671875	6.68991227963421e-05	0.968851783994354	6	10	0	0.375	ECEBD851E35ADBD52203AC2EA89AE124F73F0A643D00B8A5B93F5B2593733A9D	ECEBD851E35ADBD52203AC2EA89AE124F73F0A643D00B8A5B93F5B2593733A9D	4.61799281479342	G06
15	22360842	benchmark	P0F	0	0	mean	R2	13	-1.32189517778309e-05	0.819091796875	5.35723667827288e-05	0.208939874330747	5	8	0	0.384615384615385	ECEBD851E35ADBD52203AC2EA89AE124F73F0A643D00B8A5B93F5B2593733A9D	ECEBD851E35ADBD52203AC2EA89AE124F73F0A643D00B8A5B93F5B2593733A9D	4.61799281479342	G06
16	22360843	benchmark	P0F	0	0	median	R1	16	-0.000253616989479545	0.008148193359375	0.000103598089365651	-0.569035601768158	5	11	0	0.3125	0CA1131BB586BBAF01F24EAD4822E95D33870A8689E6360C53BAD90B915B3613	0CA1131BB586BBAF01F24EAD4822E95D33870A8689E6360C53BAD90B915B3613	4.61799281479342	G06
16	22360843	benchmark	P0F	0	0	median	R2	13	-0.000175595480425651	0.030029296875	8.2688199547947e-05	0.353012865538104	3	10	0	0.230769230769231	0CA1131BB586BBAF01F24EAD4822E95D33870A8689E6360C53BAD90B915B3613	0CA1131BB586BBAF01F24EAD4822E95D33870A8689E6360C53BAD90B915B3613	4.61799281479342	G06
16	22360843	benchmark	P0F	0	0	mean	R1	16	-0.000149484890106501	0.0721435546875	8.33319370724398e-05	-0.420337596325169	8	8	0	0.5	0CA1131BB586BBAF01F24EAD4822E95D33870A8689E6360C53BAD90B915B3613	0CA1131BB586BBAF01F24EAD4822E95D33870A8689E6360C53BAD90B915B3613	4.61799281479342	G06
16	22360843	benchmark	P0F	0	0	mean	R2	13	-8.90323200107805e-05	0.22314453125	7.08792662033256e-05	-0.402799331502948	5	8	0	0.384615384615385	0CA1131BB586BBAF01F24EAD4822E95D33870A8689E6360C53BAD90B915B3613	0CA1131BB586BBAF01F24EAD4822E95D33870A8689E6360C53BAD90B915B3613	4.61799281479342	G06
17	22360844	benchmark	P0F	0	0	median	R1	16	-5.62049991445275e-05	0.613677978515625	0.000107366375281444	-0.138902250255899	10	6	0	0.625	3C7B0741FC7A28E2958FDB2DEDA0CE1708062516CEB144897ACAF867A2511CD5	3C7B0741FC7A28E2958FDB2DEDA0CE1708062516CEB144897ACAF867A2511CD5	4.61799281479342	G06
17	22360844	benchmark	P0F	0	0	median	R2	13	-0.000202818243617703	0.07373046875	0.000113484463627605	0.337998758768972	3	10	0	0.230769230769231	3C7B0741FC7A28E2958FDB2DEDA0CE1708062516CEB144897ACAF867A2511CD5	3C7B0741FC7A28E2958FDB2DEDA0CE1708062516CEB144897ACAF867A2511CD5	4.61799281479342	G06
17	22360844	benchmark	P0F	0	0	mean	R1	16	2.49066266519218e-05	0.8140869140625	0.000103168813839374	-0.348377984071715	9	7	0	0.5625	3C7B0741FC7A28E2958FDB2DEDA0CE1708062516CEB144897ACAF867A2511CD5	3C7B0741FC7A28E2958FDB2DEDA0CE1708062516CEB144897ACAF867A2511CD5	4.61799281479342	G06
17	22360844	benchmark	P0F	0	0	mean	R2	13	-4.86059130089488e-05	0.6044921875	9.00395623651033e-05	0.499643076033656	7	6	0	0.538461538461538	3C7B0741FC7A28E2958FDB2DEDA0CE1708062516CEB144897ACAF867A2511CD5	3C7B0741FC7A28E2958FDB2DEDA0CE1708062516CEB144897ACAF867A2511CD5	4.61799281479342	G06
18	22360845	benchmark	P0F	0	0	median	R1	16	-0.000102307109884964	0.143585205078125	6.93432168096411e-05	0.244139579716733	6	10	0	0.375	7D40435A5034FA68EC662D4BF20C06B90F0A886834A39580E7FF9E6AA4754252	7D40435A5034FA68EC662D4BF20C06B90F0A886834A39580E7FF9E6AA4754252	4.61799281479342	G06
18	22360845	benchmark	P0F	0	0	median	R2	13	-0.000224530414898699	0.077880859375	0.00012678543493801	0.444979928849603	3	10	0	0.230769230769231	7D40435A5034FA68EC662D4BF20C06B90F0A886834A39580E7FF9E6AA4754252	7D40435A5034FA68EC662D4BF20C06B90F0A886834A39580E7FF9E6AA4754252	4.61799281479342	G06
18	22360845	benchmark	P0F	0	0	mean	R1	16	-5.93075540385319e-06	0.934844970703125	7.22965551573349e-05	0.0661618941306913	8	8	0	0.5	7D40435A5034FA68EC662D4BF20C06B90F0A886834A39580E7FF9E6AA4754252	7D40435A5034FA68EC662D4BF20C06B90F0A886834A39580E7FF9E6AA4754252	4.61799281479342	G06
18	22360845	benchmark	P0F	0	0	mean	R2	13	-5.54472132899346e-05	0.532958984375	8.49908052611548e-05	0.421602592318469	4	9	0	0.307692307692308	7D40435A5034FA68EC662D4BF20C06B90F0A886834A39580E7FF9E6AA4754252	7D40435A5034FA68EC662D4BF20C06B90F0A886834A39580E7FF9E6AA4754252	4.61799281479342	G06
19	22360846	benchmark	P0F	0	0	median	R1	16	-0.000220351821836723	0.0322265625	0.000108038526696453	-0.240000729225554	3	13	0	0.1875	D7CA00763823CDA9D150F700D1A88AC19A87B046B83D359AECEA64979A7E73A2	D7CA00763823CDA9D150F700D1A88AC19A87B046B83D359AECEA64979A7E73A2	4.61799281479342	G06
19	22360846	benchmark	P0F	0	0	median	R2	13	-8.04260806996707e-05	0.473876953125	0.000109169983190697	0.377994887510773	6	7	0	0.461538461538462	D7CA00763823CDA9D150F700D1A88AC19A87B046B83D359AECEA64979A7E73A2	D7CA00763823CDA9D150F700D1A88AC19A87B046B83D359AECEA64979A7E73A2	4.61799281479342	G06
19	22360846	benchmark	P0F	0	0	mean	R1	16	-6.79341212084778e-05	0.403564453125	7.78284976526968e-05	-0.165628136997468	7	9	0	0.4375	D7CA00763823CDA9D150F700D1A88AC19A87B046B83D359AECEA64979A7E73A2	D7CA00763823CDA9D150F700D1A88AC19A87B046B83D359AECEA64979A7E73A2	4.61799281479342	G06
