arm	run	seed_index	Mpower_subject_mean	Mphase_subject_mean	Mpower_reject	Mphase_reject
Mphase_0p5	R2	50	-0.000176412887854145	-0.000345190281593053	0	1
Mphase_0p5	R1	51	-0.00314607253233385	-0.000249575626255276	0	0
Mphase_0p5	R2	51	-0.0009127751400526	-0.000402535855078978	0	1
Mphase_0p5	R1	52	0.000356928707803992	-0.000407678516466825	0	1
Mphase_0p5	R2	52	0.000961978286771334	-0.000134091240603867	0	0
Mphase_0p5	R1	53	0.000221523309046025	-0.000338044490774388	0	0
Mphase_0p5	R2	53	0.00280718773182957	-0.000424831036718324	0	1
Mphase_0p5	R1	54	0.0019619614300004	-9.47879257168232e-05	0	0
Mphase_0p5	R2	54	0.00202050524715604	-0.000122597911015522	0	0
Mphase_0p5	R1	55	-0.0022526304383936	-0.000508239921141735	0	1
Mphase_0p5	R2	55	0.00425926230226732	-0.000256634951463527	1	0
Mphase_0p5	R1	56	0.00402130943986319	-0.000497053145157657	0	1
Mphase_0p5	R2	56	-5.19954793078041e-08	-0.000241434544695123	0	0
Mphase_0p5	R1	57	-0.00511657234339766	-0.000206261134487607	1	0
Mphase_0p5	R2	57	-0.00405418880316219	-0.000125487212351728	0	0
Mphase_0p5	R1	58	0.00148716527478603	-0.000373128095229508	0	1
Mphase_0p5	R2	58	-0.00226752562884502	-0.000268691833398707	0	0
Mphase_0p5	R1	59	0.000702176446721815	-0.00019235763422669	0	0
Mphase_0p5	R2	59	-0.00127691842585663	-0.000375740898915151	0	1
Mphase_0p5	R1	60	-0.00213294332895151	-0.000280585204365213	0	1
Mphase_0p5	R2	60	-0.0033562995301808	-0.00036464625110937	0	1
Mphase_0p5	R1	61	0.000493754212988497	-0.000479032686850822	0	1
Mphase_0p5	R2	61	0.00266432251342083	-0.00035355884009752	0	1
Mphase_0p5	R1	62	-0.00130933927043733	-0.00012969205408353	0	0
Mphase_0p5	R2	62	-0.000593983832852455	-7.51587493716239e-06	0	0
