seed_index	world_seed	run_kind	arm	J_contract	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	effective_contract_sha256	background_world_sha256
6	20860833	formal	J256_high	256	median	R1	16	-0.000164690466125703	0.1448974609375	0.000111936503395664	0.394995325080751	4	12	0	0.25	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	8BE7798DC34278804678108AECED93A8F8846F24C8976EC4ACB4A912FCEAA426
6	20860833	formal	J256_high	256	median	R2	13	-4.63867070851239e-05	0.670654296875	0.000102896021534618	1.18843162076815	4	9	0	0.307692307692308	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	8BE7798DC34278804678108AECED93A8F8846F24C8976EC4ACB4A912FCEAA426
6	20860833	formal	J256_high	256	mean	R1	16	-3.50787002274985e-05	0.661102294921875	7.79850583217531e-05	0.0426023605929264	8	8	0	0.5	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	8BE7798DC34278804678108AECED93A8F8846F24C8976EC4ACB4A912FCEAA426
6	20860833	formal	J256_high	256	mean	R2	13	0.000123055311273133	0.343994140625	0.000119630036087341	1.12518479618106	8	5	0	0.615384615384615	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	8BE7798DC34278804678108AECED93A8F8846F24C8976EC4ACB4A912FCEAA426
7	20860834	formal	J32_reference	32	median	R1	16	-8.51133188851133e-05	0.386322021484375	9.59161953380067e-05	0.104344484111514	8	8	0	0.5	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	BF045FF7846D580B1FB1C619B3D6DBA93779E1736258AFB2F506D0857CE80C7A
7	20860834	formal	J32_reference	32	median	R2	13	-9.96481502507648e-05	0.3056640625	9.51434345847125e-05	0.189700346459698	5	8	0	0.384615384615385	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	BF045FF7846D580B1FB1C619B3D6DBA93779E1736258AFB2F506D0857CE80C7A
7	20860834	formal	J32_reference	32	mean	R1	16	5.44262544523018e-05	0.616485595703125	9.82017157644129e-05	1.03266253252342	7	9	0	0.4375	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	BF045FF7846D580B1FB1C619B3D6DBA93779E1736258AFB2F506D0857CE80C7A
7	20860834	formal	J32_reference	32	mean	R2	13	-2.27139476224714e-05	0.814453125	9.34854853709065e-05	0.0999540062200407	7	6	0	0.538461538461538	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	BF045FF7846D580B1FB1C619B3D6DBA93779E1736258AFB2F506D0857CE80C7A
7	20860834	formal	J256_high	256	median	R1	16	-9.71057166159421e-05	0.275177001953125	8.73138039405404e-05	0.31761201306044	6	10	0	0.375	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	BF045FF7846D580B1FB1C619B3D6DBA93779E1736258AFB2F506D0857CE80C7A
7	20860834	formal	J256_high	256	median	R2	13	-0.000106487741850484	0.282470703125	9.71418571967075e-05	0.375394330345979	4	9	0	0.307692307692308	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	BF045FF7846D580B1FB1C619B3D6DBA93779E1736258AFB2F506D0857CE80C7A
7	20860834	formal	J256_high	256	mean	R1	16	6.93446131309394e-05	0.52679443359375	9.83345352537536e-05	1.09869592967694	8	8	0	0.5	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	BF045FF7846D580B1FB1C619B3D6DBA93779E1736258AFB2F506D0857CE80C7A
7	20860834	formal	J256_high	256	mean	R2	13	1.20521478010113e-06	0.989501953125	9.34551409065483e-05	0.0791580542470241	7	6	0	0.538461538461538	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	BF045FF7846D580B1FB1C619B3D6DBA93779E1736258AFB2F506D0857CE80C7A
