seed_index	world_seed	mode	arm	kappa	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	metric_stream_initial_state_hash	base_stream_state_hash	truth_a_g06_uV	truth_grid_id
6	22360833	benchmark	P4	4	median	R2	13	-0.00620746715663059	0.000244140625	0.00184168232008132	-0.356408681377125	0	13	0	0	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P4	4	mean	R1	16	-0.0070640225835962	3.0517578125e-05	0.00199365010762504	-1.90311629445191	0	16	0	0	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P4	4	mean	R2	13	-0.00648209312645647	0.000244140625	0.00190532219090942	0.144566311410691	0	13	0	0	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
7	22360834	benchmark	P0	0	median	R1	16	-0.000308128163805316	0.001922607421875	0.000110153190690412	-0.107206596910762	3	13	0	0.1875	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P0	0	median	R2	13	-0.00032913727430228	0.004638671875	0.000128065156200382	0.0184143322093604	2	11	0	0.153846153846154	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P0	0	mean	R1	16	-0.000166262661557141	0.08935546875	9.76583804815162e-05	0.378864786896633	4	12	0	0.25	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P0	0	mean	R2	13	-0.000133495322354319	0.19775390625	0.000100894344157363	-0.353290963811559	5	8	0	0.384615384615385	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P4	4	median	R1	16	-0.0078764290325412	3.0517578125e-05	0.00254565054179917	-2.59129676509222	0	16	0	0	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P4	4	median	R2	13	-0.00798038075140673	0.000244140625	0.00249197691508961	-1.092777012745	0	13	0	0	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P4	4	mean	R1	16	-0.00812560202743437	3.0517578125e-05	0.00243493330427461	-2.05804156676452	0	16	0	0	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P4	4	mean	R2	13	-0.00806237153369327	0.000244140625	0.00242949632326993	-0.946225767542304	0	13	0	0	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
8	22360835	benchmark	P0	0	median	R1	16	-0.000345665580223063	0.000946044921875	0.000113278111585953	0.648506177310682	3	13	0	0.1875	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P0	0	median	R2	13	-0.000252255630044064	0.00732421875	9.96647364710376e-05	1.07004628204473	2	11	0	0.153846153846154	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P0	0	mean	R1	16	-9.85317653778246e-05	0.13177490234375	6.46918046087886e-05	-0.245592060742875	7	9	0	0.4375	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P0	0	mean	R2	13	-5.8396575118957e-05	0.515869140625	8.64681049537862e-05	1.12756855594771	3	10	0	0.230769230769231	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P4	4	median	R1	16	-0.00836852141010229	3.0517578125e-05	0.00253047635101751	-1.07449192458239	0	16	0	0	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P4	4	median	R2	13	-0.00805924879412234	0.000244140625	0.00272226417429844	-0.98401534496525	0	13	0	0	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P4	4	mean	R1	16	-0.00888474589581106	3.0517578125e-05	0.00255120269025889	-0.81097106211926	0	16	0	0	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P4	4	mean	R2	13	-0.00811938633116785	0.000244140625	0.00263655691504293	-0.801448488932917	0	13	0	0	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
9	22360836	benchmark	P0	0	median	R1	16	-0.000400621772514765	0.00079345703125	0.000129951581917566	0.659895428216719	2	14	0	0.125	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
